,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price,tavg_departure,tmin_departure,tmax_departure,prcp_departure,wdir_departure,wspd_departure,wpgt_departure,pres_departure,tavg_destination,tmin_destination,tmax_destination,prcp_destination,wdir_destination,wspd_destination,wpgt_destination,pres_destination,Open,High,Low,Close,Adj Close,Volume
0,Lufthansa,2024-08-05,FRA,BER,2024-08-06,01:10,15:45,16:55,False,00:00,333.6,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.7,12.6,26.1,0.0,133.0,8.5,22.2,1014.1,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
1,QatarAirways,2024-08-05,FRA,LHR,2024-08-06,14:35,17:15,06:50,True,01:10,1.186,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.1,15.8,21.5,1.8,208.0,14.5,33.3,1009.5,,,,,,
2,QatarAirways,2024-08-05,FRA,HAM,2024-08-06,17:40,20:30,14:10,True,05:10,1.058,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,21.7,13.8,27.7,0.0,120.0,10.8,29.5,1012.6,,,,,,
3,QatarAirways,2024-08-05,FRA,BER,2024-08-06,14:05,17:15,07:20,True,02:10,901.0,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.7,12.6,26.1,0.0,133.0,8.5,22.2,1014.1,,,,,,
4,KLM,2024-08-05,FRA,BER,2024-08-06,04:30,10:15,11:30,True,02:05,1296.0,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.7,12.6,26.1,0.0,133.0,8.5,22.2,1014.1,7.803999900817871,7.883999824523926,7.642000198364258,7.831999778747559,7.831999778747559,710273.0
5,Lufthansa,2024-08-05,FRA,PVG,2024-08-06,12:15,15:00,09:15,False,00:00,1521.76,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,32.9,29.0,38.0,0.0,150.0,16.0,,1005.5,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
6,Lufthansa,2024-08-05,FRA,JFK,2024-08-06,13:30,09:15,16:45,True,02:20,1617.87,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,26.7,22.8,32.2,11.9,243.0,9.1,,1013.5,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
7,Lufthansa,2024-08-05,FRA,DXB,2024-08-06,22:15,20:50,21:05,True,14:45,952.23,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,36.1,32.0,40.1,0.0,215.0,15.3,,997.3,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
8,Lufthansa,2024-08-05,FRA,SAW,2024-08-06,03:00,13:00,17:00,False,00:00,446.65,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,26.5,22.6,30.0,0.0,74.0,12.6,,1008.7,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
9,Lufthansa,2024-08-05,FRA,PMI,2024-08-06,02:05,10:20,12:25,False,00:00,315.98,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,27.8,23.0,31.0,0.0,251.0,11.0,,1011.5,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
10,QatarAirways,2024-08-05,FRA,SAW,2024-08-06,11:40,17:15,05:55,True,01:25,1.009,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,26.5,22.6,30.0,0.0,74.0,12.6,,1008.7,,,,,,
11,Lufthansa,2024-08-05,FRA,LHR,2024-08-06,01:25,06:50,07:15,False,00:00,235.71,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.1,15.8,21.5,1.8,208.0,14.5,33.3,1009.5,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
12,Lufthansa,2024-08-05,FRA,HAM,2024-08-06,01:05,20:15,21:20,False,00:00,313.08,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,21.7,13.8,27.7,0.0,120.0,10.8,29.5,1012.6,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
13,Lufthansa,2024-08-05,FRA,BER,2024-08-06,01:10,15:45,16:55,False,00:00,333.6,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,19.7,12.6,26.1,0.0,133.0,8.5,22.2,1014.1,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0
14,KLM,2024-08-05,FRA,PVG,2024-08-06,29:50,11:45,23:35,True,14:15,2037.0,22.3,14.9,29.1,0.0,66.0,6.7,18.5,1012.4,32.9,29.0,38.0,0.0,150.0,16.0,,1005.5,7.803999900817871,7.883999824523926,7.642000198364258,7.831999778747559,7.831999778747559,710273.0
