Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-08-01,21.9,20.0,24.3,6.1,0.0,48.0,8.2,18.5,1011.7,90.0,Frankfurt
2024-08-01,22.2,16.9,26.5,0.0,0.0,38.0,8.6,22.2,1012.1,,Berlin
2024-08-01,29.1,24.0,34.0,0.0,,210.0,8.8,,1010.9,,Palma
2024-08-01,39.3,36.0,44.0,0.0,,308.0,15.5,,995.3,,Dubai
2024-08-01,35.2,31.0,40.0,0.0,,227.0,12.7,,1003.3,,Shanghai
2024-08-01,22.8,18.0,28.4,3.2,0.0,232.0,10.1,47.9,1011.3,552.0,Munich
2024-08-01,29.0,25.0,33.3,0.0,0.0,239.0,6.1,,1013.9,,New_York
2024-08-01,18.6,11.5,23.8,0.0,0.0,336.0,8.6,25.9,1013.4,729.0,Hamburg
2024-08-01,20.5,16.8,24.8,8.7,,30.0,8.0,20.4,1013.0,,London
2024-08-01,25.6,21.6,30.0,0.0,,47.0,21.2,,1012.2,,Istanbul
2024-08-02,35.5,31.0,41.0,0.1,,193.0,11.9,,1004.1,,Shanghai
2024-08-02,28.0,24.0,32.3,2.4,0.0,219.0,9.1,,1011.7,,New_York
2024-08-02,21.3,16.3,26.8,0.2,,220.0,11.4,35.2,1011.9,,London
2024-08-02,18.9,17.1,20.3,0.0,0.0,18.0,10.3,24.1,1010.4,,Berlin
2024-08-02,17.5,14.9,21.5,0.0,0.0,338.0,7.9,25.9,1012.7,125.0,Hamburg
2024-08-02,21.1,17.9,24.6,21.7,0.0,266.0,11.5,37.1,1010.8,371.0,Munich
2024-08-02,37.0,34.0,40.3,0.0,,259.0,11.8,,993.5,,Dubai
2024-08-02,28.5,25.0,32.0,0.0,,175.0,14.3,,1008.9,,Palma
2024-08-02,22.8,18.7,28.3,0.0,0.0,298.0,9.1,20.4,1011.3,567.0,Frankfurt
2024-08-02,26.2,21.9,31.0,0.0,,53.0,17.8,,1008.8,,Istanbul
2024-08-03,25.8,21.6,29.0,0.0,,107.0,11.9,,1005.9,,Istanbul
2024-08-03,37.1,34.0,43.7,0.0,,282.0,13.4,,993.7,,Dubai
