airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
AustrianAirlines,2024-08-05,FRA,BER,06-08-2024,01:10,15:45,16:55,False,00:00,333.6
QatarAirways,2024-08-05,FRA,LHR,06-08-2024,14:35,17:15,06:50,True,01:10,1.186
QatarAirways,2024-08-05,FRA,HAM,06-08-2024,17:40,20:30,14:10,True,05:10,1.058
QatarAirways,2024-08-05,FRA,BER,06-08-2024,14:05,17:15,07:20,True,02:10,901.0
KLM,2024-08-05,FRA,BER,06-08-2024,04:30,10:15,11:30,True,02:05,1296.0
Lufthansa,2024-08-05,FRA,PVG,06-08-2024,12:15,15:00,09:15,False,00:00,1521.76
Lufthansa,2024-08-05,FRA,JFK,06-08-2024,13:30,09:15,16:45,True,02:20,1617.87
Lufthansa,2024-08-05,FRA,DXB,06-08-2024,22:15,20:50,21:05,True,14:45,952.23
Lufthansa,2024-08-05,FRA,SAW,06-08-2024,03:00,13:00,17:00,False,00:00,446.65
Lufthansa,2024-08-05,FRA,PMI,06-08-2024,02:05,10:20,12:25,False,00:00,315.98
QatarAirways,2024-08-05,FRA,SAW,06-08-2024,11:40,17:15,05:55,True,01:25,1.009
Lufthansa,2024-08-05,FRA,LHR,06-08-2024,01:25,06:50,07:15,False,00:00,235.71
Lufthansa,2024-08-05,FRA,HAM,06-08-2024,01:05,20:15,21:20,False,00:00,313.08
Lufthansa,2024-08-05,FRA,BER,06-08-2024,01:10,15:45,16:55,False,00:00,333.6
KLM,2024-08-05,FRA,PVG,06-08-2024,29:50,11:45,23:35,True,14:15,2037.0
KLM,2024-08-05,FRA,JFK,06-08-2024,26:00,12:10,14:30,True,16:25,2987.0
KLM,2024-08-05,FRA,DXB,06-08-2024,09:15,14:20,23:00,True,01:20,659.0
KLM,2024-08-05,FRA,SAW,06-08-2024,08:05,11:40,16:05,True,03:30,281.0
KLM,2024-08-05,FRA,PMI,06-08-2024,04:45,12:30,14:25,True,01:20,1140.0
KLM,2024-08-05,FRA,LHR,06-08-2024,03:25,20:30,20:55,True,00:45,548.0
KLM,2024-08-05,FRA,HAM,06-08-2024,04:25,10:20,11:25,True,02:10,1295.0
Lufthansa,2024-08-05,FRA,MUC,06-08-2024,00:55,15:15,16:10,False,00:00,369.0
QatarAirways,2024-08-05,FRA,DXB,06-08-2024,12:55,20:30,11:25,True,05:40,490.0
KLM,2024-08-05,FRA,MUC,06-08-2024,03:55,21:00,22:25,True,01:15,972.0
AustrianAirlines,2024-08-05,FRA,HAM,06-08-2024,01:05,20:15,21:20,False,00:00,313.08
AustrianAirlines,2024-08-05,FRA,MUC,06-08-2024,00:55,15:15,16:10,False,00:00,369.0
AustrianAirlines,2024-08-05,FRA,LHR,06-08-2024,01:25,06:50,07:15,False,00:00,235.71
