airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
QatarAirways,05-08-2024,FRA,BER,06-08-2024,14:05,17:15,07:20,True,02:10,901.0
QatarAirways,05-08-2024,FRA,HAM,06-08-2024,17:40,20:30,14:10,True,05:10,1.058
QatarAirways,05-08-2024,FRA,LHR,06-08-2024,14:35,17:15,06:50,True,01:10,1.186
QatarAirways,05-08-2024,FRA,SAW,06-08-2024,11:40,17:15,05:55,True,01:25,1.009
QatarAirways,05-08-2024,FRA,DXB,06-08-2024,12:55,20:30,11:25,True,05:40,490.0
QatarAirways,06-08-2024,FRA,BER,07-08-2024,17:05,20:50,13:55,True,05:10,900.0
QatarAirways,06-08-2024,FRA,HAM,07-08-2024,14:35,17:15,07:50,True,02:05,1.603
QatarAirways,06-08-2024,FRA,LHR,07-08-2024,14:35,17:15,06:50,True,01:10,1.186
QatarAirways,06-08-2024,FRA,SAW,07-08-2024,14:20,20:50,12:10,True,04:05,1.009
QatarAirways,06-08-2024,FRA,DXB,07-08-2024,11:25,20:50,10:15,True,04:10,493.0
QatarAirways,07-08-2024,FRA,BER,08-08-2024,14:05,17:15,07:20,True,02:10,944.0
QatarAirways,07-08-2024,FRA,HAM,08-08-2024,17:40,20:30,14:10,True,05:10,1.148
QatarAirways,07-08-2024,FRA,LHR,08-08-2024,15:15,17:15,07:30,True,02:05,1.507
QatarAirways,07-08-2024,FRA,SAW,08-08-2024,14:40,20:30,12:10,True,04:25,1.008
QatarAirways,07-08-2024,FRA,DXB,08-08-2024,11:45,20:30,10:15,True,04:30,493.0
QatarAirways,08-08-2024,FRA,BER,09-08-2024,17:25,20:30,13:55,True,05:30,958.0
QatarAirways,08-08-2024,FRA,HAM,09-08-2024,14:35,17:15,07:50,True,02:05,1.413
QatarAirways,08-08-2024,FRA,LHR,09-08-2024,17:30,20:30,13:00,True,04:05,1.244
QatarAirways,08-08-2024,FRA,SAW,09-08-2024,11:40,17:15,05:55,True,01:25,1.037
QatarAirways,08-08-2024,FRA,DXB,09-08-2024,11:45,20:30,10:15,True,04:30,527.0
QatarAirways,09-08-2024,FRA,BER,10-08-2024,34:50,20:30,07:20,True,22:55,929.0
QatarAirways,09-08-2024,FRA,HAM,10-08-2024,17:40,20:30,14:10,True,05:10,1.046
QatarAirways,09-08-2024,FRA,LHR,10-08-2024,17:45,20:30,13:15,True,04:35,1.272
QatarAirways,09-08-2024,FRA,SAW,10-08-2024,14:40,20:30,12:10,True,04:25,1.055
QatarAirways,09-08-2024,FRA,DXB,10-08-2024,12:55,20:30,11:25,True,05:40,527.0
QatarAirways,10-08-2024,FRA,BER,11-08-2024,17:25,20:30,13:55,True,05:30,929.0
QatarAirways,10-08-2024,FRA,HAM,11-08-2024,17:40,20:30,14:10,True,05:10,1.185
QatarAirways,10-08-2024,FRA,LHR,11-08-2024,17:45,20:30,13:15,True,04:35,1.272
QatarAirways,10-08-2024,FRA,SAW,11-08-2024,14:40,20:30,12:10,True,04:25,1.038
QatarAirways,10-08-2024,FRA,DXB,11-08-2024,11:45,20:30,10:15,True,04:30,638.0
QatarAirways,11-08-2024,FRA,BER,12-08-2024,14:05,17:15,7:20,True,2:10,914
QatarAirways,11-08-2024,FRA,HAM,12-08-2024,14:35,17:15,7:50,True,2:05,1158
QatarAirways,11-08-2024,FRA,LHR,12-08-2024,14:25,17:15,6:40,True,1:20,1186
QatarAirways,11-08-2024,FRA,IST,12-08-2024,12:05,17:15,6:20,True,1:55,1022
QatarAirways,11-08-2024,FRA,DXB,12-08-2024,11:45,20:30,10:15,True,4:30,616
QatarAirways,12-08-2024,FRA,BER,13-08-2024,17:25,20:30,13:55,True,5:30,1255
QatarAirways,12-08-2024,FRA,HAM,13-08-2024,17:40,20:30,14:10,True,5:10,992
QatarAirways,12-08-2024,FRA,LHR,13-08-2024,14:25,17:15,6:40,True,1:20,1186
QatarAirways,12-08-2024,FRA,IST,13-08-2024,14:40,20:30,12:10,True,4:25,1009
QatarAirways,12-08-2024,FRA,DXB,13-08-2024,11:45,20:30,10:15,True,4:30,671
QatarAirways,13-08-2024,FRA,BER,14-08-2024,17:05,20:50,13:55,True,05:10,1.507
QatarAirways,13-08-2024,FRA,HAM,14-08-2024,14:35,17:15,07:50,True,02:05,5.143
QatarAirways,13-08-2024,FRA,LHR,14-08-2024,18:20,20:50,14:10,True,05:10,1.158
QatarAirways,13-08-2024,FRA,SAW,14-08-2024,11:40,17:15,05:55,True,01:25,1.009
QatarAirways,13-08-2024,FRA,DXB,14-08-2024,11:25,20:50,10:15,True,04:10,600.0
QatarAirways,14-08-2024,FRA,BER,15-08-2024,34:50,20:30,07:20,True,22:50,1.129
QatarAirways,14-08-2024,FRA,HAM,15-08-2024,17:40,20:30,14:10,True,05:10,1.166
QatarAirways,14-08-2024,FRA,LHR,15-08-2024,18:40,20:30,14:10,True,05:30,1.178
QatarAirways,14-08-2024,FRA,SAW,15-08-2024,14:40,20:30,12:10,True,04:25,1.008
QatarAirways,14-08-2024,FRA,DXB,15-08-2024,22:55,20:30,21:25,True,15:40,495.0
QatarAirways,15-08-2024,FRA,BER,16-08-2024,17:25,20:30,13:55,True,05:30,972.0
QatarAirways,15-08-2024,FRA,HAM,16-08-2024,14:35,17:15,07:50,True,02:05,5.272
QatarAirways,15-08-2024,FRA,LHR,16-08-2024,14:10,17:15,06:25,True,00:00,1.236
QatarAirways,15-08-2024,FRA,SAW,16-08-2024,11:40,17:15,05:55,True,01:25,1.037
QatarAirways,15-08-2024,FRA,DXB,16-08-2024,11:45,20:30,10:15,True,04:30,582.0
QatarAirways,16-08-2024,FRA,BER,17-08-2024,-,-,-,-,-,-
QatarAirways,16-08-2024,FRA,HAM,17-08-2024,20:20,20:30,16:50,True,06:50,1653.0
QatarAirways,16-08-2024,FRA,LHR,17-08-2024,17:55,20:30,13:25,True,04:50,1.354
QatarAirways,16-08-2024,FRA,SAW,17-08-2024,14:40,20:30,12:10,True,04:25,1.054
QatarAirways,16-08-2024,FRA,DXB,17-08-2024,09:00,10:25,21:25,True,01:45,539.0
QatarAirways,17-08-2024,FRA,BER,18-08-2024,17:25,20:30,13:55,True,05:30,1.122
QatarAirways,17-08-2024,FRA,HAM,18-08-2024,17:40,20:30,14:10,True,05:10,1.021
QatarAirways,17-08-2024,FRA,LHR,18-08-2024,17:45,20:30,13:15,True,04:35,1.228
QatarAirways,17-08-2024,FRA,SAW,18-08-2024,11:40,17:15,05:55,True,01:25,1.037
QatarAirways,17-08-2024,FRA,DXB,18-08-2024,11:45,20:30,10:15,True,04:30,795.0
QatarAirways,18-08-2024,FRA,BER,19-08-2024,34:50,20:30,07:20,True,22:55,1.043
QatarAirways,18-08-2024,FRA,HAM,19-08-2024,14:35,17:15,07:50,True,02:05,1.561
QatarAirways,18-08-2024,FRA,LHR,19-08-2024,14:10,17:15,06:25,True,00:00,1.156
QatarAirways,18-08-2024,FRA,SAW,19-08-2024,14:40,20:30,12:10,True,04:25,966
QatarAirways,18-08-2024,FRA,DXB,19-08-2024,11:45,20:30,10:15,True,04:30,689
QatarAirways,19-08-2024,FRA,BER,20-08-2024,17:25,20:30,13:55,True,05:30,851.0
QatarAirways,19-08-2024,FRA,HAM,20-08-2024,17:40,20:30,14:10,True,05:10,922.0
QatarAirways,19-08-2024,FRA,LHR,20-08-2024,14:35,17:15,06:50,True,01:10,1.142
QatarAirways,19-08-2024,FRA,SAW,20-08-2024,11:40,17:15,05:55,True,01:25,966.0
QatarAirways,19-08-2024,FRA,DXB,20-08-2024,12:55,20:30,11:25,True,05:40,489.0
QatarAirways,20-08-2024,FRA,BER,21-08-2024,17:05,20:50,13:55,True,05:10,851.0
QatarAirways,20-08-2024,FRA,HAM,21-08-2024,14:35,17:15,07:50,True,02:05,1.972
QatarAirways,20-08-2024,FRA,LHR,21-08-2024,17:25,20:50,13:15,True,04:15,1.478
