date,level,message,error
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - Berlin),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Berlin&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: Berlin,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - Hamburg),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Hamburg&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: Hamburg,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - München),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=München&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: München,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - London),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=London&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: London,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - Palma de Mallorca),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Palma de Mallorca&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: Palma de Mallorca,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - Istanbul),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Istanbul&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: Istanbul,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - Dubai),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Dubai&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: Dubai,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
2024-08-05,INFO,Destination field is filled,
2024-08-05,INFO,Pressed Enter to search for flights,
2024-08-05,INFO,Successfully navigated to the search results page,
2024-08-05,INFO,Option selected from the dropdown,
2024-08-05,INFO,Economy option selected successfully,
2024-08-05,INFO,Price extracted successfully,
2024-08-05,INFO,Clicked button in the opened tab successfully,
2024-08-05,INFO,Total flight duration extracted successfully,
2024-08-05,INFO,Landing time extracted successfully,
2024-08-05,INFO,Departure time extracted successfully,
2024-08-05,INFO,Results saved to results/results_KLM.csv,
2024-08-05,INFO,Selenium WebDriver for KLM stopped,
2024-08-05,INFO,Flight data URL constructed successfully,
2024-08-05,INFO,Selenium WebDriver for KLM started (Frankfurt - New York),
2024-08-05,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=New York&date=05.08.2024,
2024-08-05,INFO,Accepted cookies successfully,
2024-08-05,INFO,One way flight selected successfully.,
2024-08-05,INFO,Clicked on an empty area.,
2024-08-05,INFO,Entered departure airport: Frankfurt,
2024-08-05,INFO,Entered destination airport: New York,
2024-08-05,INFO,Entered departure date: 05.08.2024,
2024-08-05,INFO,Departure airport field is filled,
