date,level,message
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-05,INFO,URL opened successfully
2024-08-05,INFO,Accepted cookies successfully
2024-08-05,INFO,Flight details page clicked
2024-08-05,INFO,Flight details page loaded successfully
2024-08-05,INFO,Transit duration extracted
2024-08-05,INFO,Results saved to results/results_QatarAirways.csv
2024-08-05,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-05,INFO,URL opened successfully
2024-08-05,INFO,Accepted cookies successfully
2024-08-05,INFO,Flight details page clicked
2024-08-05,INFO,Flight details page loaded successfully
2024-08-05,INFO,Transit duration extracted
2024-08-05,INFO,Results saved to results/results_QatarAirways.csv
2024-08-05,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-05,INFO,URL opened successfully
2024-08-05,INFO,Accepted cookies successfully
2024-08-05,INFO,Flight details page clicked
2024-08-05,INFO,Flight details page loaded successfully
2024-08-05,INFO,Transit duration extracted
2024-08-05,INFO,Results saved to results/results_QatarAirways.csv
2024-08-05,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-05,INFO,URL opened successfully
2024-08-05,INFO,Accepted cookies successfully
2024-08-05,INFO,Flight details page clicked
2024-08-05,INFO,Flight details page loaded successfully
2024-08-05,INFO,Transit duration extracted
2024-08-05,INFO,Results saved to results/results_QatarAirways.csv
2024-08-05,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Flight data URL constructed successfully
2024-08-05,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-05,INFO,URL opened successfully
2024-08-05,INFO,Accepted cookies successfully
2024-08-05,INFO,Flight details page clicked
2024-08-05,INFO,Flight details page loaded successfully
2024-08-05,INFO,Transit duration extracted
2024-08-05,INFO,Results saved to results/results_QatarAirways.csv
