airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
KLM,2024-08-05,Frankfurt,Hamburg,06-08-2024,04:25,10:20,11:25,True,02:10,1295.0
KLM,2024-08-05,Frankfurt,Berlin,06-08-2024,04:30,10:15,11:30,True,02:05,1296.0
KLM,2024-08-05,Frankfurt,München,06-08-2024,03:55,21:00,22:25,True,01:15,972.0
KLM,2024-08-05,Frankfurt,London,06-08-2024,03:25,20:30,20:55,True,00:45,548.0
KLM,2024-08-05,Frankfurt,Palma de Mallorca,06-08-2024,04:45,12:30,14:25,True,01:20,1140.0
KLM,2024-08-05,Frankfurt,Istanbul,06-08-2024,08:05,11:40,16:05,True,03:30,281.0
KLM,2024-08-05,Frankfurt,Dubai,06-08-2024,09:15,14:20,23:00,True,01:20,659.0
KLM,2024-08-05,Frankfurt,New York,06-08-2024,26:00,12:10,14:30,True,16:25,2987.0
KLM,2024-08-05,Frankfurt,Shanghai,06-08-2024,29:50,11:45,23:35,True,14:15,2037.0
KLM,2024-08-06,Frankfurt,Berlin,07-08-2024,03:30,10:15,13:45,True,01:00,1296.0
KLM,2024-08-06,Frankfurt,Hamburg,07-08-2024,03:15,18:30,21:45,True,00:55,1295.0
KLM,2024-08-06,Frankfurt,München,07-08-2024,05:15,11:45,17:00,True,02:35,789.0
KLM,2024-08-06,Frankfurt,London,07-08-2024,06:10,14:15,19:25,True,03:30,548.0
KLM,2024-08-06,Frankfurt,Palma de Mallorca,07-08-2024,05:35,10:15,16:05,True,01:55,288.0
KLM,2024-08-06,Frankfurt,Istanbul,07-08-2024,08:05,07:00,16:05,True,03:30,679.0
KLM,2024-08-06,Frankfurt,Dubai,07-08-2024,25:05,19:55,23:00,True,09:50,2725.0
KLM,2024-08-06,Frankfurt,New York,07-08-2024,13:30,07:00,14:30,True,04:00,2987.0
KLM,2024-08-06,Frankfurt,Shanghai,07-08-2024,21:25,11:45,15:10,True,03:00,3674.0
KLM,2024-08-06,Frankfurt,Berlin,07-08-2024,03:30,10:15,13:45,True,01:00,1923.0
KLM,2024-08-07,Frankfurt,Hamburg,08-08-2024,06:05,11:45,17:50,True,03:50,1922.0
KLM,2024-08-07,Frankfurt,München,08-08-2024,03:55,18:30,22:25,True,01:15,1431.0
KLM,2024-08-07,Frankfurt,London,08-08-2024,06:10,14:15,19:25,True,03:30,548.0
KLM,2024-08-07,Frankfurt,Palma de Mallorca,08-08-2024,05:30,11:45,16:15,True,02:55,1258.0
KLM,2024-08-07,Frankfurt,Istanbul,08-08-2024,09:55,11:55,22:40,True,03:30,3030.0
KLM,2024-08-07,Frankfurt,Dubai,08-08-2024,09:15,11:45,23:00,True,01:20,2098.0
KLM,2024-08-07,Frankfurt,New York,08-08-2024,09:00,11:50,07:50,False,00:00,3098.0
KLM,2024-08-07,Frankfurt,Shanghai,08-08-2024,20:15,11:45,14:00,True,05:45,3460.0
KLM,2024-08-08,Frankfurt,Berlin,09-08-2024,04:30,10:15,11:30,True,02:05,1296.0
KLM,2024-08-08,Frankfurt,Hamburg,09-08-2024,04:25,10:20,11:25,True,02:10,1295.0
KLM,2024-08-08,Frankfurt,München,09-08-2024,03:55,21:00,22:25,True,01:15,789.0
KLM,2024-08-08,Frankfurt,London,09-08-2024,04:45,10:15,10:45,True,02:05,667.0
KLM,2024-08-08,Frankfurt,Palma de Mallorca,09-08-2024,04:30,09:35,11:35,True,00:55,701.0
KLM,2024-08-08,Frankfurt,Istanbul,09-08-2024,08:05,11:40,16:05,True,03:30,679.0
KLM,2024-08-08,Frankfurt,Dubai,09-08-2024,14:00,14:20,23:00,True,06:10,2707.0
KLM,2024-08-08,Frankfurt,New York,09-08-2024,09:00,11:50,14:50,False,00:00,2994.0
KLM,2024-08-08,Frankfurt,Shanghai,09-08-2024,22:55,10:15,15:10,True,04:30,3467.0
KLM,2024-08-09,Frankfurt,Berlin,10-08-2024,03:30,12:30,13:45,True,01:00,1296.0
KLM,2024-08-09,Frankfurt,Hamburg,10-08-2024,04:05,13:15,14:20,True,01:45,1295.0
KLM,2024-08-09,Frankfurt,München,10-08-2024,06:45,15:35,17:00,True,04:05,789.0
KLM,2024-08-09,Frankfurt,London,10-08-2024,10:10,11:45,20:55,True,07:30,548.0
KLM,2024-08-09,Frankfurt,Palma de Mallorca,10-08-2024,09:25,17:10,19:40,True,05:40,288.0
KLM,2024-08-09,Frankfurt,Istanbul,10-08-2024,07:40,18:30,22:55,True,02:55,2060.0
KLM,2024-08-09,Frankfurt,Dubai,10-08-2024,26:05,08:05,09:25,True,12:20,957.0
KLM,2024-08-09,Frankfurt,New York,10-08-2024,12:30,14:30,16:45,True,03:00,2993.0
KLM,2024-08-09,Frankfurt,Shanghai,10-08-2024,23:05,18:30,22:35,True,07:30,3637.0
KLM,2024-08-10,Frankfurt,Berlin,11-08-2024,03:30,20:45,22:00,True,01:00,1296.0
KLM,2024-08-10,Frankfurt,Hamburg,11-08-2024,04:25,10:20,11:25,True,02:10,1295.0
KLM,2024-08-10,Frankfurt,München,11-08-2024,04:00,09:35,11:00,True,01:25,789.0
KLM,2024-08-10,Frankfurt,London,11-08-2024,04:45,07:00,10:45,True,02:05,548.0
KLM,2024-08-10,Frankfurt,Palma de Mallorca,11-08-2024,07:20,12:30,14:25,True,03:50,1140.0
KLM,2024-08-10,Frankfurt,Istanbul,11-08-2024,08:05,07:00,16:05,True,03:30,559.0
KLM,2024-08-10,Frankfurt,Dubai,11-08-2024,09:15,11:45,23:00,True,01:20,659.0
KLM,2024-08-10,Frankfurt,New York,11-08-2024,09:00,11:50,14:50,False,00:00,2994.0
KLM,2024-08-10,Frankfurt,Shanghai,11-08-2024,24:30,11:45,18:15,True,10:00,1686.0
KLM,2024-08-11,Frankfurt,Berlin,12-08-2024,4:30,7:00,11:30,True,2:05,1296
KLM,2024-08-11,Frankfurt,Hamburg,12-08-2024,4:25,7:00,11:25,True,2:10,1295
KLM,2024-08-11,Frankfurt,M�nchen,12-08-2024,6:45,10:15,17:00,True,4:05,972
KLM,2024-08-11,Frankfurt,London,12-08-2024,4:45,7:00,10:45,True,2:05,548
KLM,2024-08-11,Frankfurt,Palma de Mallorca,12-08-2024,12:35,7:05,19:40,True,9:00,220
KLM,2024-08-11,Frankfurt,Istanbul,12-08-2024,8:05,7:00,16:05,True,3:30,559
KLM,2024-08-11,Frankfurt,Dubai,12-08-2024,14:00,7:00,23:00,True,6:10,659
KLM,2024-08-11,Frankfurt,New York,12-08-2024,13:30,7:00,14:30,True,4:00,2973
KLM,2024-08-11,Frankfurt,Shanghai,12-08-2024,29:50:00,11:45,23:35,True,14:15,3637
KLM,2024-08-12,Frankfurt,Berlin,13-08-2024,4:30,7:00,11:30,True,2:05,1296
KLM,2024-08-12,Frankfurt,Hamburg,13-08-2024,4:25,7:00,11:25,True,2:10,1295
KLM,2024-08-12,Frankfurt,M�nchen,13-08-2024,5:50,14:15,20:05,True,3:05,789
KLM,2024-08-12,Frankfurt,London,13-08-2024,4:20,14:15,17:35,True,1:40,548
KLM,2024-08-12,Frankfurt,Palma de Mallorca,13-08-2024,10:00,9:40,19:40,True,6:30,254
KLM,2024-08-12,Frankfurt,Istanbul,13-08-2024,8:25,7:05,16:30,True,3:20,863
KLM,2024-08-12,Frankfurt,Dubai,13-08-2024,10:55,9:40,22:35,True,2:35,931
KLM,2024-08-12,Frankfurt,New York,13-08-2024,9:00,11:50,14:50,False,0:00,2980
KLM,2024-08-12,Frankfurt,Shanghai,13-08-2024,27:20:00,14:15,23:35,True,11:30,3637
KLM,2024-08-13,Frankfurt,Berlin,14-08-2024,03:30,20:45,22:00,True,01:00,1296.0
KLM,2024-08-13,Frankfurt,Hamburg,14-08-2024,03:35,16:50,17:50,True,01:15,1295.0
KLM,2024-08-13,Frankfurt,München,14-08-2024,03:55,21:00,22:25,True,01:15,789.0
KLM,2024-08-13,Frankfurt,London,14-08-2024,03:25,20:30,20:55,True,00:45,548.0
KLM,2024-08-13,Frankfurt,Palma de Mallorca,14-08-2024,14:50,08:50,10:45,True,11:30,520.0
KLM,2024-08-13,Frankfurt,Istanbul,14-08-2024,16:20,07:25,11:50,True,11:40,1267.0
KLM,2024-08-13,Frankfurt,Dubai,14-08-2024,25:05,08:15,09:40,True,10:55,677.0
KLM,2024-08-13,Frankfurt,New York,14-08-2024,10:55,14:15,19:10,True,01:30,2979.0
