time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,22.2,16.9,26.5,0.0,0.0,38.0,8.6,22.2,1012.1,
2024-08-02,18.9,17.1,20.3,0.0,0.0,18.0,10.3,24.1,1010.4,
2024-08-03,19.9,14.9,24.7,24.2,0.0,300.0,8.1,22.2,1010.7,
2024-08-04,19.2,17.0,22.0,0.9,0.0,257.0,12.1,33.3,1010.8,
2024-08-05,18.0,13.9,22.2,0.0,0.0,306.0,12.1,29.6,1014.7,
2024-08-06,19.7,12.6,26.1,0.0,0.0,133.0,8.5,22.2,1014.1,
2024-08-07,21.6,15.1,28.9,4.2,0.0,154.0,9.8,22.2,1011.1,
2024-08-08,20.1,16.7,22.7,0.0,0.0,287.0,12.4,31.5,1014.5,
2024-08-09,19.1,14.2,23.1,1.9,0.0,218.0,12.8,35.2,1014.7,
2024-08-10,20.1,14.7,25.3,0.0,0.0,269.0,12.3,33.3,1018.1,
2024-08-11,20.2,16.7,24.6,0.0,0.0,298.0,11.4,33.3,1020.4,
2024-08-12,20.4,13.2,26.9,0.0,0.0,65.0,7.6,22.2,1016.8,
2024-08-13,22.5,14.6,29.9,0.0,0.0,103.0,14.0,29.6,1013.2,
2024-08-14,24.5,17.2,31.8,0.4,0.0,120.0,14.9,33.3,1011.7,
2024-08-15,23.6,20.0,27.6,0.0,0.0,260.0,10.2,27.8,1014.2,
2024-08-16,23.0,17.1,28.7,0.0,0.0,252.0,11.1,33.3,1014.9,
2024-08-17,22.3,18.7,26.6,0.0,0.0,298.0,8.8,25.9,1012.4,
2024-08-18,20.2,17.9,22.7,0.0,0.0,4.0,11.6,29.6,1009.6,
2024-08-19,18.7,15.8,22.3,0.0,0.0,335.0,11.4,27.8,1016.1,
2024-08-20,19.7,12.5,26.9,0.0,0.0,136.0,10.2,25.9,1014.5,
2024-08-21,19.5,15.3,21.4,0.0,0.0,256.0,16.9,48.2,1011.4,
2024-08-22,17.4,12.5,22.4,0.0,0.0,225.0,12.1,33.3,1013.2,
2024-08-23,21.2,14.3,28.7,0.0,0.0,211.0,15.9,46.3,1008.9,
2024-08-24,24.1,17.1,31.4,0.0,0.0,187.0,14.1,38.9,1011.3,
2024-08-25,20.2,14.6,22.3,0.0,0.0,266.0,15.8,40.8,1015.4,
2024-08-26,17.8,11.3,24.7,0.0,,192.0,8.1,24.1,1022.1,
2024-08-27,19.2,12.0,26.5,0.0,,120.0,9.5,25.9,1023.1,
2024-08-28,22.0,15.1,29.3,,,107.0,13.7,31.5,1020.5,
2024-08-29,24.6,19.4,30.7,,,138.0,12.8,29.6,1016.0,
2024-08-30,20.9,17.9,24.4,,,274.0,12.0,29.6,1017.4,
2024-08-31,19.0,14.7,23.3,,,334.0,10.8,25.9,1019.9,
