time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,39.3,36.0,44.0,0.0,,308.0,15.5,,995.3,
2024-08-02,37.0,34.0,40.3,0.0,,259.0,11.8,,993.5,
2024-08-03,37.1,34.0,43.7,0.0,,282.0,13.4,,993.7,
2024-08-04,35.6,33.3,40.6,0.0,,234.0,13.3,,994.5,
2024-08-05,36.8,32.9,42.0,0.0,,100.0,17.4,,995.5,
2024-08-06,36.1,32.0,40.1,0.0,,215.0,15.3,,997.3,
2024-08-07,36.7,33.9,40.9,0.0,,64.0,13.9,,997.2,
2024-08-08,37.1,33.0,43.1,0.0,,89.0,19.6,,997.1,
2024-08-09,36.4,32.7,42.2,0.0,,88.0,23.6,,999.0,
2024-08-10,36.6,32.0,43.0,0.0,,83.0,20.0,,999.5,
2024-08-11,37.5,32.7,42.5,0.0,,64.0,15.9,,997.7,
2024-08-12,38.5,35.0,42.0,0.0,,25.0,15.1,,996.7,
2024-08-13,38.3,34.0,44.2,0.0,,71.0,15.1,,998.3,
2024-08-14,37.9,34.0,44.0,0.0,,74.0,17.1,,999.3,
2024-08-15,37.5,33.7,43.0,0.0,,24.0,16.1,,998.8,
2024-08-16,37.4,35.0,41.1,0.0,,18.0,11.5,,995.9,
2024-08-17,36.1,32.7,42.1,0.0,,87.0,23.8,,996.1,
2024-08-18,36.3,32.5,41.5,0.0,,85.0,26.1,,998.7,
2024-08-19,36.4,33.0,42.0,0.0,,89.0,19.7,,1000.0,
2024-08-20,36.1,33.0,41.0,0.0,,85.0,18.7,,999.3,
2024-08-21,34.8,32.0,39.0,0.0,,78.0,21.1,,1001.5,
2024-08-22,35.0,32.0,39.0,0.0,,20.0,16.7,,1002.0,
2024-08-23,36.3,33.0,41.0,0.0,,16.0,13.9,,1001.8,
2024-08-24,37.4,34.0,40.0,0.0,,70.0,13.4,,1001.5,
2024-08-25,37.1,33.7,40.5,0.0,,34.0,12.9,,1001.2,
2024-08-26,36.5,33.6,40.1,0.0,,6.0,12.9,,999.8,
2024-08-27,36.9,33.1,40.8,,,11.0,12.1,,999.1,
2024-08-28,36.5,32.7,40.7,,,342.0,12.3,,999.6,
2024-08-29,36.4,32.5,40.5,,,303.0,11.7,,998.8,
2024-08-30,36.6,32.8,40.4,,,48.0,12.2,,998.1,
2024-08-31,36.6,32.8,40.5,,,55.0,13.5,,999.3,
