time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,21.9,20.0,24.3,6.1,0.0,48.0,8.2,18.5,1011.7,90.0
2024-08-02,22.8,18.7,28.3,0.0,0.0,298.0,9.1,20.4,1011.3,567.0
2024-08-03,20.9,17.5,26.8,23.4,0.0,226.0,8.0,20.4,1012.0,475.0
2024-08-04,19.8,17.5,23.1,3.6,0.0,261.0,10.9,24.1,1014.2,115.0
2024-08-05,20.8,16.5,27.0,0.0,0.0,31.0,5.5,14.8,1015.5,630.0
2024-08-06,22.3,14.9,29.1,0.0,0.0,66.0,6.7,18.5,1012.4,823.0
2024-08-07,21.9,17.5,28.0,15.0,0.0,230.0,9.1,25.9,1012.0,410.0
2024-08-08,20.7,17.0,25.5,0.0,0.0,272.0,8.4,20.4,1016.5,534.0
2024-08-09,22.1,15.8,28.1,0.0,0.0,243.0,13.9,33.3,1016.9,406.0
2024-08-10,23.2,18.5,29.0,0.0,0.0,256.0,10.3,24.1,1020.3,748.0
2024-08-11,24.0,17.1,30.6,0.0,0.0,23.0,8.6,20.4,1020.4,799.0
2024-08-12,25.9,18.6,33.0,0.0,0.0,88.0,9.5,25.9,1013.7,819.0
2024-08-13,26.8,20.2,34.9,10.8,0.0,159.0,5.8,24.1,1010.3,601.0
2024-08-14,23.9,19.7,29.8,0.0,0.0,268.0,8.7,22.2,1010.9,463.0
2024-08-15,23.5,18.3,29.3,0.0,0.0,253.0,7.4,20.4,1016.7,705.0
2024-08-16,24.2,20.0,30.0,0.0,0.0,240.0,10.0,25.9,1016.0,705.0
2024-08-17,22.4,18.1,28.1,5.7,0.0,240.0,8.4,20.4,1013.1,225.0
2024-08-18,19.7,16.2,22.6,1.4,0.0,262.0,11.8,25.9,1010.3,8.0
2024-08-19,19.2,14.3,25.0,0.0,0.0,5.0,8.0,16.7,1017.2,547.0
2024-08-20,19.6,13.7,24.3,0.1,0.0,125.0,7.8,20.4,1013.6,355.0
2024-08-21,18.9,14.2,23.0,0.0,0.0,271.0,13.9,27.8,1016.0,589.0
2024-08-22,18.4,11.8,24.8,0.0,0.0,199.0,9.2,25.9,1015.0,714.0
2024-08-23,21.6,15.4,28.6,0.0,0.0,224.0,16.0,40.8,1011.6,685.0
2024-08-24,24.8,17.0,32.2,0.0,0.0,200.0,14.6,37.0,1011.1,766.0
2024-08-25,19.7,14.9,24.1,1.2,,252.0,13.6,25.9,1019.2,
2024-08-26,17.6,11.3,23.9,0.0,,17.0,7.6,16.7,1022.4,
2024-08-27,20.1,12.9,27.0,0.0,0.0,54.0,10.0,22.2,1021.1,
2024-08-28,20.6,13.4,28.5,,,258.0,8.8,22.2,1017.0,
2024-08-29,21.4,15.1,28.2,,,264.0,9.8,25.9,1016.5,
2024-08-30,18.8,14.6,23.3,,,290.0,9.4,22.2,1020.8,
2024-08-31,17.5,12.0,23.2,,,325.0,10.2,22.2,1022.4,
