time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,18.6,11.5,23.8,0.0,0.0,336.0,8.6,25.9,1013.4,729.0
2024-08-02,17.5,14.9,21.5,0.0,0.0,338.0,7.9,25.9,1012.7,125.0
2024-08-03,19.1,13.8,25.8,4.9,0.0,272.0,6.8,51.8,1011.0,497.0
2024-08-04,17.5,12.4,20.5,0.0,0.0,269.0,14.4,46.4,1012.0,295.0
2024-08-05,18.1,12.1,23.7,0.0,0.0,271.0,6.8,27.0,1015.1,424.0
2024-08-06,21.7,13.8,27.7,0.0,0.0,120.0,10.8,29.5,1012.6,787.0
2024-08-07,20.9,16.0,27.6,4.7,0.0,175.0,11.2,39.6,1010.8,273.0
2024-08-08,17.9,12.3,23.5,0.9,0.0,260.0,10.1,31.3,1015.1,388.0
2024-08-09,18.4,13.4,22.3,2.2,0.0,210.0,19.1,48.6,1012.5,123.0
2024-08-10,18.4,12.4,24.1,0.0,0.0,256.0,14.4,43.2,1018.1,482.0
2024-08-11,18.1,11.4,23.4,0.0,0.0,282.0,12.6,42.1,1021.4,750.0
2024-08-12,18.4,8.5,26.2,0.0,0.0,56.0,9.0,28.4,1016.5,831.0
2024-08-13,24.2,16.4,31.3,7.2,0.0,108.0,17.3,35.6,1011.6,799.0
2024-08-14,19.7,16.6,23.6,22.8,0.0,6.0,8.6,50.8,1011.9,21.0
2024-08-15,20.5,17.1,24.7,0.0,0.0,237.0,9.0,27.7,1014.5,128.0
2024-08-16,19.8,16.8,22.3,1.9,0.0,227.0,13.0,40.7,1013.8,155.0
2024-08-17,17.7,13.9,20.8,0.0,0.0,348.0,4.3,14.8,1013.4,42.0
2024-08-18,16.7,11.6,20.8,0.1,0.0,9.0,5.4,24.1,1012.3,24.0
2024-08-19,17.1,12.4,21.9,0.0,0.0,292.0,6.5,23.4,1017.6,416.0
2024-08-20,19.0,12.6,25.6,12.4,0.0,151.0,12.2,37.1,1012.2,681.0
2024-08-21,16.7,13.7,19.3,2.2,0.0,254.0,16.9,59.8,1011.9,511.0
2024-08-22,17.6,13.0,21.1,0.1,0.0,216.0,18.0,44.3,1010.3,171.0
2024-08-23,20.0,13.8,25.1,0.2,0.0,221.0,22.7,62.3,1006.1,303.0
2024-08-24,21.9,14.3,28.7,5.4,0.0,175.0,18.4,65.9,1007.8,480.0
2024-08-25,17.4,14.9,20.4,5.4,0.0,246.0,18.3,49.0,1014.9,
2024-08-26,16.5,11.7,20.7,0.0,,202.0,13.3,38.9,1021.3,
2024-08-27,18.8,12.7,25.0,0.0,,157.0,9.2,27.8,1022.7,
2024-08-28,21.5,14.8,27.7,,,108.0,13.5,33.3,1019.2,
2024-08-29,22.4,17.5,27.6,,,186.0,13.4,33.3,1015.2,
2024-08-30,17.9,14.6,21.4,,,250.0,10.9,31.5,1019.0,
2024-08-31,17.0,13.2,21.0,,,240.0,9.2,25.9,1022.5,
