time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,25.6,21.6,30.0,0.0,,47.0,21.2,,1012.2,
2024-08-02,26.2,21.9,31.0,0.0,,53.0,17.8,,1008.8,
2024-08-03,25.8,21.6,29.0,0.0,,107.0,11.9,,1005.9,
2024-08-04,28.5,24.0,33.0,0.0,,32.0,15.5,,1007.2,
2024-08-05,27.1,24.8,31.0,0.0,,55.0,20.6,,1009.2,
2024-08-06,26.5,22.6,30.0,0.0,,74.0,12.6,,1008.7,
2024-08-07,26.1,24.0,28.4,0.0,,29.0,20.3,,1011.6,
2024-08-08,25.5,22.0,29.0,0.0,,56.0,17.0,,1012.0,
2024-08-09,27.1,24.0,32.0,0.0,,34.0,17.5,,1011.6,
2024-08-10,27.6,24.6,31.2,0.0,,30.0,21.8,,1014.1,
2024-08-11,27.8,24.0,31.1,0.1,,36.0,23.0,,1015.6,
2024-08-12,27.6,24.0,32.0,0.0,,55.0,20.4,,1013.6,
2024-08-13,28.6,23.6,34.0,0.0,,51.0,21.5,,1011.1,
2024-08-14,29.2,25.5,35.0,0.0,,57.0,32.3,,1011.6,
2024-08-15,27.3,24.0,32.0,0.0,,56.0,27.3,,1014.3,
2024-08-16,26.2,22.0,30.0,0.0,,59.0,23.7,,1015.2,
2024-08-17,26.0,22.0,30.0,0.0,,55.0,24.0,,1012.9,
2024-08-18,26.1,22.0,30.1,0.0,,42.0,22.7,,1009.8,
2024-08-19,25.4,21.9,28.4,0.0,,38.0,12.2,,1010.0,
2024-08-20,26.0,22.0,31.0,0.0,,67.0,12.5,,1010.5,
2024-08-21,26.2,23.8,30.0,0.0,,36.0,21.2,,1007.1,
2024-08-22,26.7,23.7,32.0,0.0,,21.0,14.3,,1008.0,
2024-08-23,28.2,23.9,33.0,0.0,,39.0,19.4,,1013.0,
2024-08-24,27.6,24.7,31.0,0.0,,54.0,20.7,,1015.2,
2024-08-25,26.9,23.0,31.3,0.0,,41.0,22.7,,1011.7,
2024-08-26,27.8,24.8,31.9,0.0,,49.0,18.2,,1010.2,
2024-08-27,26.4,23.4,30.0,0.5,,35.0,17.1,,1011.6,
2024-08-28,25.4,20.0,28.9,,,55.0,10.8,,1013.9,
2024-08-29,25.7,22.6,28.0,,,193.0,10.2,,1012.6,
2024-08-30,24.8,22.7,26.9,,,320.0,13.7,,1011.1,
2024-08-31,24.8,22.1,27.7,,,5.0,13.7,,1011.4,
