time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,20.5,16.8,24.8,8.7,,30.0,8.0,20.4,1013.0,
2024-08-02,21.3,16.3,26.8,0.2,,220.0,11.4,35.2,1011.9,
2024-08-03,19.6,16.4,22.7,0.1,,240.0,14.9,33.3,1011.4,
2024-08-04,16.8,11.9,21.6,0.0,,253.0,10.3,27.8,1015.2,
2024-08-05,18.8,13.4,24.1,0.0,,200.0,15.8,37.0,1012.7,
2024-08-06,19.1,15.8,21.5,1.8,,208.0,14.5,33.3,1009.5,
2024-08-07,17.0,11.4,21.5,0.0,,226.0,15.1,40.8,1012.3,
2024-08-08,17.0,11.9,19.9,0.3,,207.0,20.5,50.0,1014.1,
2024-08-09,20.4,16.1,24.4,0.0,,245.0,22.4,40.8,1013.9,
2024-08-10,18.5,13.1,23.9,0.0,,222.0,15.1,37.0,1019.4,
2024-08-11,21.3,15.3,27.5,0.0,,77.0,10.8,29.6,1019.8,
2024-08-12,24.8,18.8,32.1,0.0,,161.0,16.6,37.0,1009.2,
2024-08-13,19.4,13.7,25.4,0.6,,228.0,13.1,35.2,1009.7,
2024-08-14,19.6,15.7,24.0,0.4,,233.0,8.3,25.9,1013.1,
2024-08-15,18.5,13.5,22.3,0.0,,224.0,20.3,53.7,1014.8,
2024-08-16,19.1,15.4,23.0,0.4,,276.0,11.2,29.6,1014.7,
2024-08-17,16.8,11.3,22.6,0.0,,284.0,9.2,22.2,1013.7,
2024-08-18,17.5,11.7,23.3,0.0,,277.0,11.7,31.5,1014.2,
2024-08-19,16.6,10.6,21.3,1.0,,207.0,15.4,44.5,1015.6,
2024-08-20,18.6,13.6,22.0,0.3,,236.0,20.6,42.6,1009.9,
2024-08-21,15.5,10.3,19.8,0.0,,241.0,19.5,44.5,1016.7,
2024-08-22,17.2,15.0,19.5,2.9,,208.0,27.3,53.7,1007.5,
2024-08-23,18.6,15.3,21.8,2.2,,227.0,24.9,48.2,1004.1,
2024-08-24,15.0,12.1,16.6,11.7,,213.0,12.0,31.5,1005.6,
2024-08-25,14.4,8.8,19.2,0.0,,225.0,20.8,50.0,1017.7,
2024-08-26,17.4,13.4,22.1,0.0,,219.0,18.8,38.9,1019.2,
2024-08-27,18.4,14.2,23.7,0.0,,176.0,14.7,37.0,1017.7,
2024-08-28,19.2,14.2,24.7,,,162.0,10.4,25.9,1013.9,
2024-08-29,17.0,12.7,21.4,,,247.0,11.3,29.6,1017.7,
2024-08-30,16.1,10.5,21.7,,,19.0,8.7,22.2,1022.3,
2024-08-31,16.4,12.3,21.0,,,51.0,12.3,27.8,1022.3,
