time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,22.8,18.0,28.4,3.2,0.0,232.0,10.1,47.9,1011.3,552.0
2024-08-02,21.1,17.9,24.6,21.7,0.0,266.0,11.5,37.1,1010.8,371.0
2024-08-03,20.4,15.9,26.5,4.4,0.0,241.0,7.9,52.6,1012.1,388.0
2024-08-04,20.7,16.8,25.1,0.0,0.0,271.0,10.1,37.8,1014.1,410.0
2024-08-05,20.2,15.9,24.8,0.0,0.0,306.0,7.2,24.5,1014.3,391.0
2024-08-06,22.2,14.6,29.0,0.0,0.0,68.0,6.5,21.6,1011.7,855.0
2024-08-07,22.2,17.8,27.9,4.4,0.0,232.0,8.6,48.2,1012.1,478.0
2024-08-08,19.6,16.6,24.5,4.8,0.0,271.0,5.8,21.6,1016.1,165.0
2024-08-09,21.5,14.4,27.7,0.0,0.0,249.0,6.5,28.1,1017.7,757.0
2024-08-10,23.7,19.1,29.3,0.0,0.0,281.0,6.5,28.1,1019.8,707.0
2024-08-11,24.3,17.0,31.3,0.0,0.0,43.0,6.8,23.0,1018.2,826.0
2024-08-12,25.5,18.4,31.7,0.0,0.0,49.0,5.8,28.1,1012.3,660.0
2024-08-13,24.8,18.9,32.6,1.2,0.0,168.0,9.7,57.2,1010.2,656.0
2024-08-14,23.0,17.1,31.0,4.1,0.0,235.0,9.0,54.7,1011.6,654.0
2024-08-15,22.4,16.7,28.2,0.0,0.0,38.0,6.5,23.8,1016.4,786.0
2024-08-16,24.5,19.0,29.8,0.5,0.0,313.0,5.0,23.4,1015.1,558.0
2024-08-17,22.4,19.1,26.1,2.4,0.0,309.0,6.1,27.4,1012.5,303.0
2024-08-18,19.1,16.3,21.9,54.5,0.0,269.0,9.7,40.7,1009.0,20.0
2024-08-19,15.7,14.6,17.0,5.7,0.0,293.0,9.7,31.7,1016.1,0.0
2024-08-20,17.3,15.7,20.1,0.0,0.0,102.0,6.1,22.3,1013.5,59.0
2024-08-21,17.7,12.5,22.2,0.4,0.0,263.0,9.7,43.2,1016.6,276.0
2024-08-22,17.7,11.2,24.4,0.0,0.0,5.0,5.4,19.4,1014.8,739.0
2024-08-23,21.6,13.8,29.5,0.0,0.0,211.0,7.6,29.2,1013.3,750.0
2024-08-24,24.1,14.8,31.4,0.0,0.0,141.0,7.6,27.0,1012.5,788.0
2024-08-25,16.7,11.7,23.6,6.7,0.0,251.0,9.4,42.1,1020.7,61.0
2024-08-26,14.6,12.3,16.3,0.6,0.0,73.0,5.4,18.0,1022.5,0.0
2024-08-27,18.3,12.9,24.6,0.0,0.0,77.0,8.6,31.7,1019.9,380.0
2024-08-28,21.1,14.6,29.6,,,32.0,5.2,17.0,1017.0,
2024-08-29,23.2,17.5,29.4,,,251.0,7.1,22.2,1017.0,
2024-08-30,21.2,17.7,25.4,,,275.0,7.1,20.4,1019.7,
2024-08-31,20.1,16.3,24.3,,,53.0,6.8,20.4,1020.5,
