time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,29.0,25.0,33.3,0.0,0.0,239.0,6.1,,1013.9,
2024-08-02,28.0,24.0,32.3,2.4,0.0,219.0,9.1,,1011.7,
2024-08-03,26.6,23.0,32.2,7.1,0.0,227.0,10.0,,1010.6,
2024-08-04,24.2,22.8,29.0,8.7,0.0,228.0,10.8,,1013.4,
2024-08-05,27.3,23.3,31.7,0.0,0.0,239.0,8.7,,1015.8,
2024-08-06,26.7,22.8,32.2,11.9,0.0,243.0,9.1,,1013.5,
2024-08-07,20.8,19.4,23.0,12.0,0.0,43.0,18.0,,1015.1,
2024-08-08,20.6,19.4,22.0,8.3,0.0,42.0,20.8,,1018.2,
2024-08-09,25.3,22.0,27.2,25.2,0.0,174.0,18.4,,1012.5,
2024-08-10,26.8,23.3,30.6,2.2,0.0,268.0,9.6,,1013.0,
2024-08-11,25.2,22.8,28.3,0.0,0.0,285.0,9.4,,1015.7,
2024-08-12,24.1,21.0,27.8,0.3,0.0,276.0,10.2,,1015.3,
2024-08-13,24.2,20.0,29.0,0.0,0.0,305.0,7.8,,1016.5,
2024-08-14,25.9,18.2,31.1,0.0,0.0,354.0,8.0,,1017.4,
2024-08-15,26.3,19.8,31.0,0.0,0.0,298.0,7.7,,1017.5,
2024-08-16,25.9,22.8,31.0,0.0,0.0,262.0,7.7,,1017.2,
2024-08-17,23.7,22.0,26.1,0.1,0.0,134.0,10.8,,1015.9,
2024-08-18,24.3,21.7,28.0,13.0,0.0,133.0,11.9,,1010.7,
2024-08-19,24.8,21.7,30.0,6.7,0.0,294.0,7.5,,1005.9,
2024-08-20,20.8,17.8,24.4,0.0,0.0,318.0,7.1,,1012.4,
2024-08-21,20.0,15.6,25.0,0.0,0.0,289.0,8.7,,1017.6,
2024-08-22,21.3,16.0,26.1,0.0,,272.0,9.0,,1021.6,
2024-08-23,23.2,19.0,28.3,0.0,,265.0,8.2,,1025.0,
2024-08-24,24.2,20.0,29.0,0.0,,242.0,8.1,,1024.3,
2024-08-25,24.5,20.6,30.1,0.0,,221.0,14.2,,1023.0,
2024-08-26,24.3,18.2,30.4,0.0,,229.0,14.4,,1019.9,
2024-08-27,24.0,18.0,30.6,0.0,,131.0,13.3,,1017.5,
2024-08-28,15.4,9.4,21.7,0.0,,243.0,13.2,,1013.6,
2024-08-29,15.7,9.4,21.7,0.0,,41.0,12.3,,1017.2,
2024-08-30,13.4,10.0,20.0,0.0,,105.0,12.0,,1019.8,
2024-08-31,23.9,20.9,27.9,,,189.0,10.9,,1017.2,
