time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,29.1,24.0,34.0,0.0,,210.0,8.8,,1010.9,
2024-08-02,28.5,25.0,32.0,0.0,,175.0,14.3,,1008.9,
2024-08-03,28.9,24.0,34.0,0.0,,214.0,13.8,,1012.2,
2024-08-04,27.5,23.0,31.0,0.1,,210.0,12.5,,1014.1,
2024-08-05,27.1,21.9,31.0,0.0,,223.0,12.1,,1012.8,
2024-08-06,27.8,23.0,31.0,0.0,,251.0,11.0,,1011.5,
2024-08-07,30.2,23.0,37.0,0.0,,53.0,11.8,,1011.4,
2024-08-08,30.5,24.0,37.0,0.0,,54.0,13.2,,1013.5,
2024-08-09,29.4,24.0,36.0,0.0,,69.0,11.1,,1016.6,
2024-08-10,30.1,24.0,36.0,0.0,,43.0,11.2,,1017.2,
2024-08-11,29.2,24.8,34.0,0.0,,63.0,12.2,,1014.4,
2024-08-12,28.7,24.0,32.0,0.0,,175.0,10.7,,1011.7,
2024-08-13,28.0,24.0,32.0,0.0,,194.0,10.4,,1009.5,
2024-08-14,26.1,22.0,30.0,3.2,,53.0,9.8,,1010.0,
2024-08-15,23.2,21.8,27.0,9.8,,36.0,7.6,,1013.8,
2024-08-16,24.2,21.0,28.0,4.9,,355.0,8.7,,1014.5,
2024-08-17,27.2,23.0,31.0,0.2,,338.0,10.7,,1014.4,
2024-08-18,25.9,22.0,29.0,0.4,,237.0,9.7,,1012.3,
2024-08-19,26.2,22.8,29.0,1.1,,125.0,12.2,,1012.6,
2024-08-20,25.6,20.0,30.0,0.0,,245.0,13.0,,1013.4,
2024-08-21,25.9,21.0,30.0,0.0,,275.0,12.1,,1016.5,
2024-08-22,25.8,22.0,29.0,0.0,,247.0,10.1,,1014.5,
2024-08-23,26.3,22.0,31.0,0.0,,254.0,10.2,,1014.9,
2024-08-24,27.5,22.0,33.0,0.0,,51.0,10.5,,1014.3,
2024-08-25,26.8,23.1,31.0,0.0,,52.0,19.9,,1015.4,
2024-08-26,25.0,22.1,28.6,0.0,,61.0,19.8,,1017.1,
2024-08-27,24.6,20.0,29.6,0.0,,159.0,9.8,,1015.8,
2024-08-28,25.9,20.7,30.5,,,134.0,10.1,,1015.5,
2024-08-29,26.2,20.9,30.9,,,97.0,9.8,,1017.1,
2024-08-30,26.5,20.9,31.5,,,83.0,10.1,,1018.5,
2024-08-31,26.8,21.7,31.7,,,87.0,10.3,,1018.5,
