time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,35.2,31.0,40.0,0.0,,227.0,12.7,,1003.3,
2024-08-02,35.5,31.0,41.0,0.1,,193.0,11.9,,1004.1,
2024-08-03,34.8,32.0,40.0,0.7,,147.0,10.6,,1006.4,
2024-08-04,34.7,31.0,40.0,0.9,,153.0,12.2,,1006.2,
2024-08-05,33.1,30.0,38.0,0.0,,145.0,12.6,,1005.3,
2024-08-06,32.9,29.0,38.0,0.0,,150.0,16.0,,1005.5,
2024-08-07,33.1,29.0,38.0,0.0,,149.0,15.0,,1005.1,
2024-08-08,31.8,27.0,39.0,0.3,,148.0,10.2,,1004.2,
2024-08-09,32.6,29.0,38.0,0.1,,159.0,11.8,,1002.8,
2024-08-10,32.9,29.0,38.0,0.0,,160.0,15.1,,1000.9,
2024-08-11,32.5,29.0,38.0,1.7,,167.0,13.1,,999.7,
2024-08-12,31.5,30.0,35.0,7.7,,140.0,10.0,,1001.7,
2024-08-13,31.6,28.0,35.0,0.0,,145.0,11.7,,1005.3,
2024-08-14,31.5,26.0,35.0,0.0,,82.0,13.3,,1006.5,
2024-08-15,30.5,27.0,34.0,0.3,,46.0,11.5,,1006.3,
2024-08-16,30.7,27.0,35.0,1.6,,62.0,11.8,,1006.9,
2024-08-17,31.6,29.0,35.0,0.1,,106.0,11.3,,1008.3,
2024-08-18,31.1,29.0,34.0,3.6,,120.0,14.8,,1007.0,
2024-08-19,31.8,29.0,36.0,3.1,,139.0,18.6,,1004.4,
2024-08-20,32.2,29.0,36.0,0.2,,154.0,14.0,,1004.0,
2024-08-21,30.3,27.0,35.0,11.0,,208.0,14.6,,1004.4,
2024-08-22,30.9,27.0,35.0,0.0,,230.0,10.4,,1006.8,
2024-08-23,32.4,29.0,37.0,0.0,,135.0,10.1,,1008.2,
2024-08-24,31.5,27.5,37.0,0.0,,89.0,10.4,,1008.6,
2024-08-25,31.3,29.0,34.9,0.4,,103.0,9.6,,1007.5,
2024-08-26,30.7,27.6,33.6,0.0,,98.0,9.0,,1004.6,
2024-08-27,30.7,28.3,33.9,1.2,,206.0,9.7,,1001.4,
2024-08-28,29.3,27.0,31.6,,,262.0,8.5,,1003.0,
2024-08-29,28.7,26.5,30.9,,,313.0,8.7,,1005.8,
2024-08-30,29.4,26.6,32.4,,,336.0,6.8,,1006.8,
2024-08-31,29.6,26.9,32.4,,,333.0,7.1,,1006.0,
